CODE,PRJ_LETTER_GRADE,SB_UID,SB_STATE,sbName,execount,observed,C34_1,C34_2,C34_3,C34_4,C34_5,C34_6,C34_7
2013.1.00877.S,B,uid://A001/X12a/X1d,Ready,IRASF163_a_07_TE,1,0.0,0,0,0,0,0,1,0
2013.1.00877.S,B,uid://A001/X12a/X1e,Ready,NGC7592_a_07_TE,1,0.0,0,0,0,0,0,1,0
2013.1.00518.S,B,uid://A001/X11f/X1,FullyObserved,BHR71_a_06_TE,1,1.0,1,0,0,0,0,0,0
2012.1.01123.S,B,uid://A002/X6802f4/Xc,Suspended,Venus,1,0.0,1,0,0,0,0,0,0
2012.1.00088.S,B,uid://A002/X5eed86/X9d,Ready,SXDS-49523_Band6,7,7.0,0,0,1,1,1,1,0
2013.1.01286.S,B,uid://A001/X13a/Xb5,Ready,L1551IRS_a_07_TE,3,0.0,0,0,0,0,0,1,0
2013.1.00524.S,B,uid://A001/X121/X11a,Ready,CGCG049_a_09_TE,1,0.0,0,0,0,0,1,1,0
2013.1.00524.S,B,uid://A001/X121/X11b,Ready,CGCG049_b_09_TE,1,0.0,0,1,1,0,0,0,0
2013.1.00524.S,B,uid://A001/X121/X11c,Ready,IC5179_a_09_TE,2,1.0,0,0,0,0,1,1,0
2013.1.00524.S,B,uid://A001/X121/X11d,Ready,NGC5135_a_09_TE,1,0.0,0,0,0,0,1,1,0
2013.1.00524.S,B,uid://A001/X121/X11e,Ready,NGC5135_b_09_TE,1,0.0,0,1,0,0,0,0,0
2013.1.00524.S,B,uid://A001/X121/X11f,FullyObserved,NGC7130_a_09_TE,1,1.0,0,0,0,0,1,1,0
2013.1.00192.S,C,uid://A001/X13e/X1be,Phase2Submitted,TW_Hya_a_07_TE,1,0.0,0,0,0,0,1,0,0
2013.1.00192.S,C,uid://A001/X13e/X1bd,Phase2Submitted,TW_Hya_a_08_TE,1,0.0,0,0,1,1,0,0,0
2013.1.00192.S,C,uid://A001/X13e/X1bf,Phase2Submitted,TW_Hya_b_07_TE,2,0.0,0,0,1,1,0,0,0
2013.1.00095.S,B,uid://A001/X13e/X192,Ready,ID001_a_07_TE,2,0.0,1,1,1,1,1,1,0
2013.1.00095.S,B,uid://A001/X13e/X193,Ready,ID051_a_07_TE,2,0.0,1,1,1,1,1,1,0
2013.1.00095.S,B,uid://A001/X13e/X194,Ready,ID101_a_07_TE,2,0.0,1,1,1,1,1,1,0
2013.1.00095.S,B,uid://A001/X13e/X195,Ready,ID151_a_07_TE,2,0.0,1,1,1,1,1,1,0
2012.1.00857.S,B,uid://A002/X684eb5/X41,FullyObserved,Sz_102_B7_12m,3,3.0,0,0,1,1,0,0,0
2012.1.00997.S,B,uid://A002/X6ac013/X8,Ready,HH212_b9_repeat_x1,1,0.0,0,0,1,1,0,0,0
2012.1.00997.S,B,uid://A002/X6ac013/X9,FullyObserved,HH212_b7_repeat_x3,3,3.0,0,0,1,1,1,1,0
2013.1.01151.S,B,uid://A001/X144/X204,FullyObserved,NGC253_a_03_TE,1,1.0,1,1,1,0,0,0,0
2013.1.01151.S,B,uid://A001/X144/X205,FullyObserved,NGC1068_a_03_TE,1,1.0,1,1,1,0,0,0,0
2013.1.01151.S,B,uid://A001/X144/X206,FullyObserved,NGC1068_b_03_TE,1,1.0,1,1,1,0,0,0,0
2013.1.01151.S,B,uid://A001/X144/X207,FullyObserved,NGC4945_a_03_TE,1,1.0,1,1,1,0,0,0,0
2013.1.01151.S,B,uid://A001/X144/X208,FullyObserved,NGC4945_b_03_TE,1,1.0,1,1,1,0,0,0,0
2013.1.00122.S,A,uid://A001/X12e/X248,Ready,UGCA116_a_03_TE,2,0.0,0,0,0,0,0,0,1
2013.1.00122.S,A,uid://A001/X12e/X249,FullyObserved,UGCA116_a_07_TE,1,1.0,0,0,0,0,0,1,0
2013.1.00122.S,A,uid://A001/X12e/X24a,FullyObserved,UGCA116_a_07_TC,1,1.0,0,1,0,0,0,0,0
